N.Treatment,Temperature,term,estimate,std.error,statistic,p.value
0,13,(Intercept),6.957911379809694,0.1273193013355472,54.649305382789315,3.879929668862346e-8
0,13,day,0.06942795650974976,0.028269053912835445,2.455970289059666,0.057512698433566156
0,16,(Intercept),6.688742787528328,0.19796837544731616,33.78692567646166,4.270639845401257e-7
0,16,day,0.24268963713734062,0.04388284748201766,5.530398573993863,0.002650147799110749
0,19,(Intercept),6.702580225204119,0.4240176688922021,15.807313508221078,5.503951810178976e-4
0,19,day,0.16296299437224523,0.12837654954453884,1.2694140397947602,0.29382450534254173
0,22,(Intercept),7.571037747954381,0.5660349518854924,13.375565806907954,1.0809589281809192e-5
0,22,day,0.18330863846776668,0.1713065757869237,1.0700618912362798,0.3257373702237858
0,25,(Intercept),6.933551911041877,0.6603303456010938,10.500126122070485,1.5494953161672435e-5
0,25,day,0.24313756837992195,0.21013985449773445,1.157027394736981,0.2852142457923358
0,28,(Intercept),7.2533729444447905,0.2750925259411403,26.367030218758998,2.889409312856148e-8
0,28,day,0.004346212872752645,0.08750703820822614,0.049667009211426805,0.9617752117151157
11,13,(Intercept),6.133966389578951,0.4526193677987047,13.552151821101337,3.91971995392478e-5
11,13,day,0.34672774390404476,0.0999433516557838,3.4692427075911394,0.017863888392095965
11,16,(Intercept),6.472886522755572,0.5647805865056315,11.460887072631401,8.859812553767136e-5
11,16,day,0.3677827757619676,0.1242487654624126,2.9600517509626947,0.031517007510749734
11,19,(Intercept),6.309068683739652,0.4261104871510388,14.80618026071568,6.684292230634999e-4
11,19,day,0.555336285544349,0.126270519679807,4.3979884374639004,0.021789853488196974
11,22,(Intercept),7.7037762687142495,0.6523918029653784,11.808511746618434,2.22884273520339e-5
11,22,day,0.2512333179371242,0.1971943382644777,1.2740392049196123,0.24977147276328474
11,25,(Intercept),6.476690132489999,0.5550373243777581,11.66892720187943,7.669914535675e-6
11,25,day,0.4330804637605506,0.17562611588751098,2.465922915689486,0.04308964321593633
11,28,(Intercept),6.091309738585398,0.3979414133839063,15.30705157522503,1.2239053602126218e-6
11,28,day,0.529133921201759,0.12535124885442803,4.221209808737117,0.003930705583619096
22,13,(Intercept),5.999320240721652,0.25453713496726743,23.569528436364084,2.5598204405979503e-6
22,13,day,0.47738661624239087,0.05618726302630009,8.4963493597995,3.7132223120021934e-4
22,16,(Intercept),6.653988999084257,0.34164409062881523,19.476376678540568,6.58527391169997e-6
22,16,day,0.3796915757685597,0.0751393050354751,5.053168585859266,0.003922704905229727
22,19,(Intercept),6.730276638138659,0.6239292929610852,10.786922034382556,0.0017041275404552378
22,19,day,0.6836985742009396,0.18481678299255888,3.6993316468908928,0.03429385817003156
22,22,(Intercept),7.52758123095914,0.33194252275639563,22.677363443681017,4.814183318765067e-7
22,22,day,0.29463607405406556,0.10029081511082781,2.9378171244143716,0.02602133551607232
22,25,(Intercept),6.637102963890576,0.4315676636368403,15.379055297979018,1.185352364113341e-6
22,25,day,0.415591315844681,0.1364972156024875,3.0446871316040776,0.018722825878319787
22,28,(Intercept),5.2636421493623695,0.44884521497037094,11.727076448191236,7.418790435103949e-6
22,28,day,0.7696801939773854,0.14131939712161767,5.446387471601003,9.596855680843755e-4
33,13,(Intercept),5.516141306096446,0.49762310565379125,11.084978256484261,1.041088790619668e-4
33,13,day,0.48412357297806685,0.10981600641604806,4.4084973473167475,0.006966339996703028
33,16,(Intercept),5.82017216258421,0.42340022664244004,13.746266053606355,3.656496003778463e-5
33,16,day,0.5643326032911012,0.09308982694327099,6.062237108196645,0.0017627337377573715
33,19,(Intercept),5.999428629682125,0.24807731949066944,24.183704669171792,0.001705462688825542
33,19,day,0.6793151185951152,0.0879004770617154,7.7282301678313345,0.016334151163394463
33,22,(Intercept),7.4358573028621215,0.5479879777890225,13.569380359152614,9.939684735151505e-6
33,22,day,0.4606769404686344,0.1655006812383802,2.7835350103791705,0.031848040277041266
33,25,(Intercept),6.736252644738368,1.2236087129094408,5.505234290724536,0.03144691935341716
33,25,day,0.8137323469681592,0.7144348163036522,1.1389875302805834,0.3727506414710742
33,28,(Intercept),6.702201797634192,0.5861678923244678,11.433928547427588,0.007562418829772419
33,28,day,0.6042396331470248,0.33951881804677186,1.7796940877185345,0.21708780956239718
55,13,(Intercept),5.886065865165947,0.33929049406840783,17.34816025815093,1.1660002315211577e-5
55,13,day,0.44959766766862036,0.07485295884672115,6.006411431100221,0.0018373347821357946
55,16,(Intercept),6.2495414448821425,0.3962460486444257,15.77187070069742,5.540785800537893e-4
55,16,day,0.5634072151662514,0.11770904781029332,4.7864393234602565,0.017341083818921313
55,19,(Intercept),5.942364289836194,0.571888447471072,10.390775187213023,0.0019020962685524498
55,19,day,0.7986781452509019,0.16924555767432906,4.719049387327253,0.018022088199766476
55,22,(Intercept),7.075454270594156,1.037198476400869,6.821697516512305,4.869481796524577e-4
55,22,day,0.5478447364417177,0.31312746743818315,1.749590161871928,0.13076468171090178
55,25,(Intercept),7.698859241812752,0.5344442340497151,14.405355603661706,0.004784389773931135
55,25,day,0.7607782319460553,0.31177085013591094,2.4401839736280913,0.13480064546675136
55,28,(Intercept),7.254195941944996,0.7249409619302437,10.006602361976919,0.009839651198568278
55,28,day,0.8631176111100979,0.4195508008844222,2.0572421963934455,0.17593181252638646
110,13,(Intercept),4.96837128397477,0.34502065251284686,14.400214154686791,2.9125785612900014e-5
110,13,day,0.5289450154899678,0.0760500143268,6.955225717867718,9.442086489735784e-4
110,16,(Intercept),6.099002706876244,0.47133507941970143,12.939844652312358,2.0574927175042988e-4
110,16,day,0.6119440031646054,0.11789773571947489,5.190464426057011,0.0065589505462778
110,19,(Intercept),5.157349988076363,0.4156751860074585,12.407163481689821,0.0011282073763008247
110,19,day,0.9675926848403502,0.12296951608488078,7.868557311166947,0.004276541620276362
110,22,(Intercept),7.2112595488665905,0.5357361973132184,13.460467269211836,1.0418063837311413e-5
110,22,day,0.48796129286844137,0.1616513365982318,3.0186035150530195,0.02343922638053516
110,25,(Intercept),6.310613164440679,0.543754815787513,11.605622573293628,2.4636581476285063e-5
110,25,day,0.8424206276422632,0.18989369628730804,4.4362748427819625,0.004393379930897325
110,28,(Intercept),6.957354384542925,0.8771473359726824,7.931796745215906,0.0013677002445277758
110,28,day,0.6825832333450448,0.3817072136835878,1.7882377091014712,0.14825458725486224
220,13,(Intercept),5.398258187349157,0.2805128219443668,19.244247553218,6.9874075755361035e-6
220,13,day,0.4514990330921306,0.0618135131235493,7.304212465479841,7.532670786464491e-4
220,16,(Intercept),5.712199297384132,0.4284381872200637,13.332610088862381,4.245229129551205e-5
220,16,day,0.5328154884092469,0.0941144644059691,5.661356006988589,0.0023904371008213994
220,19,(Intercept),5.585050586713972,0.29657775864292524,18.831656872281787,3.268992643699261e-4
220,19,day,0.7345332228896231,0.08770060986427988,8.37546311281463,0.003569387017208223
220,22,(Intercept),6.479669032509353,1.3856514642601223,4.676261815931624,0.0034091526489223455
220,22,day,0.6795695468967613,0.4179128121905089,1.626103644285914,0.15505249553963762
220,25,(Intercept),6.465178563019328,0.4539800065122881,14.24110857367533,7.4953367573851834e-6
220,25,day,0.9002669404236221,0.15846451269467432,5.681189593270231,0.0012819605607787886
220,28,(Intercept),6.454953153920338,0.551511567447571,11.704111998582828,7.516831609740399e-6
220,28,day,0.8211333333468628,0.173337726610592,4.737187624431937,0.0021147827756436734
330,13,(Intercept),6.854340155581114,0.43470080365291264,15.76794912266592,1.8659170560424283e-5
330,13,day,0.3318426301966786,0.09576156953289326,3.465300660957667,0.017939740280566163
330,16,(Intercept),7.556309751258149,0.30683414253947333,24.62669143896218,2.0588822142649243e-6
330,16,day,0.5032212797877983,0.06738305228105129,7.468068939484781,6.795970377977272e-4
330,19,(Intercept),7.229106267464998,0.19370765863587042,37.31967191371713,4.231904600180661e-5
330,19,day,0.7333814586391777,0.05725960273676995,12.80800815211084,0.0010270143039869137
330,22,(Intercept),6.95191008695077,0.9054290546379304,7.678028500787121,2.553724376322892e-4
330,22,day,0.8597550018651515,0.27296206170246373,3.14972343227063,0.019821678191354126
330,25,(Intercept),6.3979355158799995,0.28904388113972895,22.134824271845158,9.706721561494952e-8
330,25,day,0.8699301836649038,0.09121076913289841,9.537581931771394,2.9205517722769477e-5
330,28,(Intercept),5.823931744790763,0.5146767639679811,11.315707551843316,9.419945123146938e-6
330,28,day,0.9428131311013088,0.16169110757053218,5.830952272313671,6.429290608639635e-4
440,13,(Intercept),6.300704250354753,0.33227425361611257,18.96236070590701,7.516009585301231e-6
440,13,day,0.4204422818292805,0.07316804096039158,5.746255828509617,0.0022380140721867275
440,16,(Intercept),6.316469398785698,0.2074837940673079,30.443194019946592,7.175383514031771e-7
440,16,day,0.6273526204634968,0.04555250577575534,13.772077074130928,3.623110040043184e-5
440,19,(Intercept),5.8007766535240854,0.5507237224030728,10.533006692017013,0.0018276705674482082
440,19,day,1.0553911477404514,0.16267710626807957,6.487643971249689,0.007434590745121502
440,22,(Intercept),6.910976106762182,0.5709315978659468,12.10473572069637,1.931064749936411e-5
440,22,day,0.9220891582901872,0.1720423121998594,5.3596649946148585,0.0017286652284611169
440,25,(Intercept),6.625289596640013,0.3298187284106039,20.087669455786447,1.8968207161007446e-7
440,25,day,0.9578664523725753,0.10403603201057288,9.207064455084467,3.6782055431030494e-5
440,28,(Intercept),6.418845027959004,0.8022850276553198,8.000703997578137,9.109801132421187e-5
440,28,day,0.8155798208226215,0.25189560298315117,3.2377691835977545,0.014297124995050467
