Temperature,N.Treatment,term,estimate,std.error,statistic,p.value
13,0,a,0.031025077411116313,0.0018457583239952302,16.808851412335002,7.342103455977982e-5
13,11,a,0.029711345806620427,0.0015291585351126867,19.429866246295347,6.663579148479907e-6
13,22,a,0.030699602573744236,5.455860051186569e-4,56.269043351043294,3.353418025334596e-8
13,33,a,0.0345144500460286,5.279746796929305e-4,65.37141149666905,8.61741622443726e-10
13,55,a,0.03372315442264283,4.6302387440649986e-4,72.83243108331916,4.5088538883398395e-10
13,110,a,0.03256379828273457,5.700082983785548e-4,57.12863896081079,1.932353369391235e-9
13,220,a,0.035333238796238314,9.495923627353913e-4,37.20884895752273,3.1151429013497095e-6
13,330,a,0.03557738205664635,7.324770619356432e-4,48.57132585507811,5.106557555949767e-9
13,440,a,0.03702412382503719,0.001041666974613198,35.54314836446202,3.3064843335179254e-8
16,0,a,0.03191915830601204,0.0014976088025818628,21.313415259701816,2.8654456190235402e-5
16,11,a,0.0412476709281231,7.994736130004311e-4,51.59353636866169,5.171075796008722e-8
16,22,a,0.040712472217651466,4.6138383196630243e-4,88.23991955709653,1.4270362192288797e-10
16,33,a,0.04223452293848899,8.128869769483123e-4,51.95620564256436,3.4115209990177757e-9
16,55,a,0.04151610248733824,9.192010717534399e-4,45.16542001865097,7.890764884494715e-9
16,110,a,0.04110031915950057,5.993006765280694e-4,68.5804651474902,6.46617992066647e-10
16,220,a,0.03956276229921209,7.438059063751232e-4,53.189631811365885,2.9643304649673753e-9
16,330,a,0.03945944350212156,9.379000711334039e-4,42.07211910586259,1.2063670699117523e-8
16,440,a,0.04103912016908482,9.734931786220938e-4,42.15655648165158,1.1919840360629496e-8
19,0,a,0.045826809460223716,0.003200185767936397,14.320046642096845,0.004841149243217786
19,11,a,0.04779297881504618,0.001273601691198433,37.52584433997883,3.01145314263358e-6
19,22,a,0.04282210622793399,9.069075947460019e-4,47.217717081669385,6.047973506972368e-9
19,33,a,0.044833453979960206,7.160250822369605e-4,62.61436239062233,1.1156208279782725e-9
19,55,a,0.046261226756435736,3.5054368635710714e-4,131.96993286967472,1.2766184459383683e-11
19,110,a,0.050213921357417535,8.426945206813261e-4,59.58733577242098,1.5012572015303186e-9
19,220,a,0.05211329329602152,9.600764547766224e-4,54.2803576077142,2.62499400347435e-9
19,330,a,0.0517907046550754,0.0010197304701133512,50.788621280796335,3.908917345725262e-9
19,440,a,0.05297543770533334,9.489775118194057e-4,55.82370187441784,2.2192134139888162e-9
22,0,a,0.04924402313884006,0.0037949350478939546,12.976249268394891,0.0058864537524101895
22,11,a,0.05002840585187265,0.002353281449780261,21.258998092448348,4.2692226011712335e-6
22,22,a,0.049924163831088685,0.0019456528159928351,25.659338305746594,2.3093402725376023e-7
22,33,a,0.0515757049537163,6.995346937195974e-4,73.72858761225356,4.1901602972439057e-10
22,55,a,0.05440617149603625,2.2738627159306859e-4,239.2676176748338,3.5965056401176487e-13
22,110,a,0.051482546382817136,4.634329337887106e-4,111.08952909740587,4.817478921744419e-14
22,220,a,0.05737480662379694,7.095632209095956e-4,80.85932998365902,1.164711670497443e-11
22,330,a,0.054638889418837745,6.305231913481431e-4,86.65643099028995,7.176467020146979e-12
22,440,a,0.05551221805733714,7.482630032524142e-4,74.18811008435092,2.126756149733139e-11
25,0,a,0.06494957363936908,0.003346541803609416,19.40796722435012,2.9881015262937707e-4
25,11,a,0.05150772354463873,0.0016844250627934285,30.578815693480003,1.4207981998336725e-9
25,22,a,0.05055574681229463,0.0014712963212419477,34.36136288957728,7.391716793794758e-11
25,33,a,0.0546636192521856,0.0010992239948242285,49.72928130169374,2.959858128720096e-11
25,55,a,0.050624318044772396,7.389893984234153e-4,68.50479608066911,2.2950238332122142e-12
25,110,a,0.05315755796289264,0.0011391876771432317,46.6626869561977,4.9172934649297274e-11
25,220,a,0.057870143063279866,5.260853961522981e-4,110.0014246480373,9.450899500753476e-17
25,330,a,0.05706789295031791,4.6261506188145107e-4,123.35934917082753,3.006576596659683e-17
25,440,a,0.05805697979368224,5.447340911715642e-4,106.57856876337335,1.2961346975246027e-16
28,0,a,0.058089656762991465,0.005040268530297718,11.525111492335554,0.0014024530091755005
28,11,a,0.03539387790027063,0.0014713042400363676,24.056124448737922,9.504839360038923e-9
28,22,a,0.03619321687735321,5.243759929873064e-4,69.02149862194271,1.421209361816323e-13
28,33,a,0.03783505873320413,4.944183485957e-4,76.52438231847042,5.622686542136893e-14
28,55,a,0.03716765361614294,3.9992106392369497e-4,92.93747433927244,9.801730079370551e-15
28,110,a,0.03684914718630704,5.102021837297535e-4,72.22459715269561,9.454573844165997e-14
28,220,a,0.03724791946508181,5.929350593657726e-4,62.8195598771368,3.3110786227108066e-13
28,330,a,0.037243498444871875,6.285428167246707e-4,59.25371741410921,5.59605435480835e-13
28,440,a,0.035824594002349885,5.106356082413406e-4,70.15686611776236,1.2274207250957453e-13
