List File,BB255R2.lst
Start Time,2016-08-23  12:40:36
Sampling Time,1 min 8 sec

Count,3145  of  3146
Particles / ml,109447

Efficiency,8.4%
PPUI,4.01

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),96.99,19.81,301.54,35.04,36.13
Aspect Ratio,0.76,0.33,1.00,0.12,16.25
Circle Fit,0.70,0.00,0.93,0.10,14.04
Circularity (Hu),0.91,0.22,1.00,0.06,7.08
Compactness,1.73,1.00,8.73,0.50,28.85
Diameter (ABD),10.93,5.02,19.59,1.99,18.22
Diameter (ESD),12.66,5.76,23.80,2.21,17.46
Elongation,3.02,1.00,25.38,1.70,56.22
Geodesic Aspect Ratio,0.43,0.04,1.00,0.23,53.79
Geodesic Length,20.19,6.29,63.75,6.45,31.95
Geodesic Thickness,7.46,1.48,16.30,1.99,26.64
Image Height,37.21,24.00,64.00,5.04,13.54
Image Width,37.12,21.00,64.00,4.81,12.96
Intensity,135.75,81.70,209.12,17.28,12.73
Length,14.63,6.70,29.80,2.55,17.45
Perimeter,55.31,25.17,137.26,11.71,21.16
Roughness,1.24,1.04,2.23,0.14,11.44
Sigma Intensity,40.33,9.41,59.40,8.00,19.84
Sum Intensity,65426.53,16582.00,2.03e+005,24957.57,38.15
Transparency,0.14,0.04,0.61,0.04,31.78
Volume (ABD),752.91,66.31,3938.89,414.73,55.08
Width,10.44,3.02,19.26,2.28,21.87

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.03,0.00,35,0.00
6-7um,23,0.73,0.10,800,0.12
7-8um,54,1.72,0.33,1879,0.42
8-9um,97,3.08,0.85,3376,1.08
0-5um,0,0.00,0.00,0.00,0.00
5-10um,332,10.56,3.22,11554,4.09
10-15um,2392,76.06,70.20,83243,89
15-20um,405,12.88,24.81,14094,31
20-25um,10,0.32,1.49,348,1.89
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,154,4.90,1.91,5359,2.43
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

